feature,activation,sentence,label
14519,7.058487415313721,"try as i may , i ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` thank you ! ' ",negative
4679,32.33308792114258,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ",positive
9663,2.4030299186706543,stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time . ,negative
20159,0.5743271112442017,"not only are the special effects and narrative flow much improved , and daniel radcliffe more emotionally assertive this time around as harry , but the film conjures the magic of author j.k. rowling 's books . ",positive
9810,0.0,it 's a charming and often affecting journey . ,positive
8947,10.6427001953125,"the continued good chemistry between carmen and juni is what keeps this slightly disappointing sequel going , with enough amusing banter -- blessedly curse-free -- to keep both kids and parents entertained . ",positive
21448,8.35802936553955,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",negative
20016,0.0,it 's a charming and often affecting journey . ,positive
17630,5.044241905212402,"the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . ",positive
16789,27.742706298828125,every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ,negative
